테이블,필드,자료형,기본키순번,외래키대상,설명
payment_transaction,batch_id,TEXT,,settlement_batch.PRIMARY KEY,schema.sql 및 SAP대응 문서 참조
payment_transaction,trade_date,TEXT,,,schema.sql 및 SAP대응 문서 참조
payment_transaction,gross,INTEGER,,,금액은 원 단위 정수
payment_transaction,cancel,INTEGER,,,금액은 원 단위 정수
payment_transaction,fee,INTEGER,,,금액은 원 단위 정수
payment_transaction,expected_net,INTEGER,,,금액은 원 단위 정수
payment_transaction,received_net,INTEGER,,,금액은 원 단위 정수
performance,posid,TEXT,PK1,wbs.PRIMARY KEY,schema.sql 및 SAP대응 문서 참조
performance,status_date,TEXT,PK2,,schema.sql 및 SAP대응 문서 참조
performance,pv,INTEGER,,,금액은 원 단위 정수
performance,ev,INTEGER,,,금액은 원 단위 정수
performance,ac,INTEGER,,,금액은 원 단위 정수
performance,source_id,TEXT,,source_document.PRIMARY KEY,schema.sql 및 SAP대응 문서 참조
person,person_id,TEXT,PK1,,schema.sql 및 SAP대응 문서 참조
person,name,TEXT,,,schema.sql 및 SAP대응 문서 참조
person,role,TEXT,,,schema.sql 및 SAP대응 문서 참조
person,department,TEXT,,,schema.sql 및 SAP대응 문서 참조
person,authority,TEXT,,,schema.sql 및 SAP대응 문서 참조
person,interest,TEXT,,,schema.sql 및 SAP대응 문서 참조
physical_resource,resource_id,TEXT,PK1,,schema.sql 및 SAP대응 문서 참조
physical_resource,name,TEXT,,,schema.sql 및 SAP대응 문서 참조
physical_resource,planned_qty,INTEGER,,,schema.sql 및 SAP대응 문서 참조
physical_resource,allocated_qty,INTEGER,,,schema.sql 및 SAP대응 문서 참조
physical_resource,status,TEXT,,,schema.sql 및 SAP대응 문서 참조
physical_resource,owner_id,TEXT,,person.PRIMARY KEY,schema.sql 및 SAP대응 문서 참조
physical_resource,source_id,TEXT,,source_document.PRIMARY KEY,schema.sql 및 SAP대응 문서 참조
project,pspid,TEXT,PK1,,schema.sql 및 SAP대응 문서 참조
project,bukrs,TEXT,,company.PRIMARY KEY,schema.sql 및 SAP대응 문서 참조
project,name,TEXT,,,schema.sql 및 SAP대응 문서 참조
project,pm_id,TEXT,,person.PRIMARY KEY,schema.sql 및 SAP대응 문서 참조
purchase_order,ebeln,TEXT,PK1,,schema.sql 및 SAP대응 문서 참조
purchase_order,request_id,TEXT,,purchase_request.PRIMARY KEY,schema.sql 및 SAP대응 문서 참조
purchase_order,contract_id,TEXT,,contract.PRIMARY KEY,schema.sql 및 SAP대응 문서 참조
purchase_order,amount,INTEGER,,,금액은 원 단위 정수
purchase_order,status,TEXT,,,schema.sql 및 SAP대응 문서 참조
purchase_request,request_id,TEXT,PK1,,schema.sql 및 SAP대응 문서 참조
purchase_request,posid,TEXT,,wbs.PRIMARY KEY,schema.sql 및 SAP대응 문서 참조
purchase_request,amount,INTEGER,,,금액은 원 단위 정수
purchase_request,status,TEXT,,,schema.sql 및 SAP대응 문서 참조
purchase_request,source_id,TEXT,,source_document.PRIMARY KEY,schema.sql 및 SAP대응 문서 참조
requirement,req_id,TEXT,PK1,,schema.sql 및 SAP대응 문서 참조
requirement,title,TEXT,,,schema.sql 및 SAP대응 문서 참조
requirement,owner_id,TEXT,,person.PRIMARY KEY,schema.sql 및 SAP대응 문서 참조
requirement,acceptance,TEXT,,,schema.sql 및 SAP대응 문서 참조
requirement,source_id,TEXT,,source_document.PRIMARY KEY,schema.sql 및 SAP대응 문서 참조
requirement_wbs,req_id,TEXT,PK1,requirement.PRIMARY KEY,schema.sql 및 SAP대응 문서 참조
requirement_wbs,posid,TEXT,PK2,wbs.PRIMARY KEY,schema.sql 및 SAP대응 문서 참조
service_acceptance,acceptance_id,TEXT,PK1,,schema.sql 및 SAP대응 문서 참조
service_acceptance,ebeln,TEXT,,purchase_order.PRIMARY KEY,schema.sql 및 SAP대응 문서 참조
service_acceptance,accepted_date,TEXT,,,schema.sql 및 SAP대응 문서 참조
service_acceptance,amount,INTEGER,,,금액은 원 단위 정수
service_acceptance,kind,TEXT,,,schema.sql 및 SAP대응 문서 참조
service_acceptance,source_id,TEXT,,source_document.PRIMARY KEY,schema.sql 및 SAP대응 문서 참조
settlement_batch,batch_id,TEXT,PK1,,schema.sql 및 SAP대응 문서 참조
settlement_batch,merchant_id,TEXT,,merchant.PRIMARY KEY,schema.sql 및 SAP대응 문서 참조
settlement_batch,settlement_date,TEXT,,,schema.sql 및 SAP대응 문서 참조
settlement_batch,adjustment,INTEGER,,,schema.sql 및 SAP대응 문서 참조
settlement_batch,status,TEXT,,,schema.sql 및 SAP대응 문서 참조
settlement_revenue_bridge,batch_id,TEXT,PK1,settlement_batch.PRIMARY KEY,schema.sql 및 SAP대응 문서 참조
settlement_revenue_bridge,bukrs,TEXT,,bkpf.PRIMARY KEY,schema.sql 및 SAP대응 문서 참조
settlement_revenue_bridge,belnr,TEXT,,bkpf.PRIMARY KEY,schema.sql 및 SAP대응 문서 참조
settlement_revenue_bridge,gjahr,INTEGER,,bkpf.PRIMARY KEY,schema.sql 및 SAP대응 문서 참조
settlement_revenue_bridge,sample_fee,INTEGER,,,금액은 원 단위 정수
source_document,doc_id,TEXT,PK1,,schema.sql 및 SAP대응 문서 참조
source_document,title,TEXT,,,schema.sql 및 SAP대응 문서 참조
source_document,release_stage,TEXT,,,schema.sql 및 SAP대응 문서 참조
source_document,author_id,TEXT,,person.PRIMARY KEY,schema.sql 및 SAP대응 문서 참조
source_document,reviewer_id,TEXT,,person.PRIMARY KEY,schema.sql 및 SAP대응 문서 참조
source_document,approver_id,TEXT,,person.PRIMARY KEY,schema.sql 및 SAP대응 문서 참조
source_document,version,TEXT,,,schema.sql 및 SAP대응 문서 참조
source_document,effective_date,TEXT,,,schema.sql 및 SAP대응 문서 참조
source_document,body,TEXT,,,schema.sql 및 SAP대응 문서 참조
test_result,test_id,TEXT,PK1,,schema.sql 및 SAP대응 문서 참조
test_result,req_id,TEXT,,requirement.PRIMARY KEY,schema.sql 및 SAP대응 문서 참조
test_result,tested,INTEGER,,,schema.sql 및 SAP대응 문서 참조
test_result,passed,INTEGER,,,schema.sql 및 SAP대응 문서 참조
test_result,critical_open,INTEGER,,,schema.sql 및 SAP대응 문서 참조
test_result,source_id,TEXT,,source_document.PRIMARY KEY,schema.sql 및 SAP대응 문서 참조
wbs,posid,TEXT,PK1,,schema.sql 및 SAP대응 문서 참조
wbs,pspid,TEXT,,project.PRIMARY KEY,schema.sql 및 SAP대응 문서 참조
wbs,name,TEXT,,,schema.sql 및 SAP대응 문서 참조
wbs,owner_id,TEXT,,person.PRIMARY KEY,schema.sql 및 SAP대응 문서 참조
