거래번호,계산액,수신액,기대판정,실제판정
TX010003,19894,19894,일치,일치
TX010004,19992,19992,일치,일치
TX010005,20090,20090,일치,일치
TX010006,20188,20188,일치,일치
TX010007,20286,20286,일치,일치
TX010008,20384,20384,일치,일치
TX010009,20482,20482,일치,일치
TX010010,20580,20580,일치,일치
TX010011,20678,20678,일치,일치
TX010012,20776,20776,일치,일치
TX010013,20874,20874,일치,일치
TX010014,20972,20972,일치,일치
TX010015,21070,21070,일치,일치
TX010016,21168,21168,일치,일치
TX010017,21266,21266,일치,일치
TX010018,21364,21364,일치,일치
TX010019,21462,21462,일치,일치
TX010020,0,0,일치,일치
TX011001,20678,20778,불일치,불일치
TX011002,20776,20776,일치,일치
TX011003,20874,20874,일치,일치
TX011004,20972,20972,일치,일치
TX011005,21070,21070,일치,일치
TX011006,21168,21168,일치,일치
TX011007,21266,21266,일치,일치
TX011008,21364,21364,일치,일치
TX011009,21462,21462,일치,일치
TX011010,21560,21560,일치,일치
TX011011,21658,21658,일치,일치
TX011012,21756,21756,일치,일치
TX011013,21854,21854,일치,일치
TX011014,21952,21952,일치,일치
TX011015,22050,22050,일치,일치
TX011016,22148,22148,일치,일치
TX011017,22246,22246,일치,일치
TX011018,22344,22344,일치,일치
TX011019,22442,22442,일치,일치
TX011020,0,0,일치,일치
TX012001,21658,21758,불일치,불일치
TX012002,21756,21756,일치,일치
TX012003,21854,21854,일치,일치
TX012004,21952,21952,일치,일치
TX012005,22050,22050,일치,일치
TX012006,22148,22148,일치,일치
TX012007,22246,22246,일치,일치
TX012008,22344,22344,일치,일치
TX012009,22442,22442,일치,일치
TX012010,22540,22540,일치,일치
TX012011,22638,22638,일치,일치
TX012012,22736,22736,일치,일치
TX012013,22834,22834,일치,일치
TX012014,22932,22932,일치,일치
TX012015,23030,23030,일치,일치
TX012016,23128,23128,일치,일치
TX012017,23226,23226,일치,일치
TX012018,23324,23324,일치,일치
TX012019,23422,23422,일치,일치
TX012020,0,0,일치,일치
TX013001,22638,22638,일치,일치
TX013002,22736,22736,일치,일치
TX013003,22834,22834,일치,일치
TX013004,22932,22932,일치,일치
TX013005,23030,23030,일치,일치
TX013006,23128,23128,일치,일치
TX013007,23226,23226,일치,일치
TX013008,23324,23324,일치,일치
TX013009,23422,23422,일치,일치
TX013010,23520,23520,일치,일치
TX013011,23618,23618,일치,일치
TX013012,23716,23716,일치,일치
TX013013,23814,23814,일치,일치
TX013014,23912,23912,일치,일치
TX013015,24010,24010,일치,일치
TX013016,24108,24108,일치,일치
TX013017,24206,24206,일치,일치
TX013018,24304,24304,일치,일치
TX013019,24402,24402,일치,일치
TX013020,0,0,일치,일치
TX014001,23618,23618,일치,일치
TX014002,23716,23716,일치,일치
TX014003,23814,23814,일치,일치
TX014004,23912,23912,일치,일치
TX014005,24010,24010,일치,일치
TX014006,24108,24108,일치,일치
TX014007,24206,24206,일치,일치
TX014008,24304,24304,일치,일치
TX014009,24402,24402,일치,일치
TX014010,24500,24500,일치,일치
TX014011,24598,24598,일치,일치
TX014012,24696,24696,일치,일치
TX014013,24794,24794,일치,일치
TX014014,24892,24892,일치,일치
TX014015,24990,24990,일치,일치
TX014016,25088,25088,일치,일치
TX014017,25186,25186,일치,일치
TX014018,25284,25284,일치,일치
TX014019,25382,25382,일치,일치
TX014020,0,0,일치,일치
TX015001,24598,24598,일치,일치
TX015002,24696,24696,일치,일치
TX015003,24794,24794,일치,일치
TX015004,24892,24892,일치,일치
TX015005,24990,24990,일치,일치
TX015006,25088,25088,일치,일치
TX015007,25186,25186,일치,일치
TX015008,25284,25284,일치,일치
TX015009,25382,25382,일치,일치
TX015010,25480,25480,일치,일치
TX015011,25578,25578,일치,일치
TX015012,25676,25676,일치,일치
TX015013,25774,25774,일치,일치
TX015014,25872,25872,일치,일치
TX015015,25970,25970,일치,일치
TX015016,26068,26068,일치,일치
TX015017,26166,26166,일치,일치
TX015018,26264,26264,일치,일치
TX015019,26362,26362,일치,일치
TX015020,0,0,일치,일치
TX016001,25578,25578,일치,일치
TX016002,25676,25676,일치,일치
TX016003,25774,25774,일치,일치
TX016004,25872,25872,일치,일치
TX016005,25970,25970,일치,일치
TX016006,26068,26068,일치,일치
TX016007,26166,26166,일치,일치
TX016008,26264,26264,일치,일치
TX016009,26362,26362,일치,일치
TX016010,26460,26460,일치,일치
TX016011,26558,26558,일치,일치
TX016012,26656,26656,일치,일치
TX016013,26754,26754,일치,일치
TX016014,26852,26852,일치,일치
TX016015,26950,26950,일치,일치
TX016016,27048,27048,일치,일치
TX016017,27146,27146,일치,일치
TX016018,27244,27244,일치,일치
TX016019,27342,27342,일치,일치
TX016020,0,0,일치,일치
TX017001,26558,26558,일치,일치
TX017002,26656,26656,일치,일치
TX017003,26754,26754,일치,일치
TX017004,26852,26852,일치,일치
TX017005,26950,26950,일치,일치
TX017006,27048,27048,일치,일치
TX017007,27146,27146,일치,일치
TX017008,27244,27244,일치,일치
TX017009,27342,27342,일치,일치
TX017010,27440,27440,일치,일치
TX017011,27538,27538,일치,일치
TX017012,27636,27636,일치,일치
TX017013,27734,27734,일치,일치
TX017014,27832,27832,일치,일치
TX017015,27930,27930,일치,일치
TX017016,28028,28028,일치,일치
TX017017,28126,28126,일치,일치
TX017018,28224,28224,일치,일치
TX017019,28322,28322,일치,일치
TX017020,0,0,일치,일치
TX018001,27538,27538,일치,일치
TX018002,27636,27636,일치,일치
TX018003,27734,27734,일치,일치
TX018004,27832,27832,일치,일치
TX018005,27930,27930,일치,일치
TX018006,28028,28028,일치,일치
TX018007,28126,28126,일치,일치
TX018008,28224,28224,일치,일치
TX018009,28322,28322,일치,일치
TX018010,28420,28420,일치,일치
TX018011,28518,28518,일치,일치
TX018012,28616,28616,일치,일치
TX018013,28714,28714,일치,일치
TX018014,28812,28812,일치,일치
TX018015,28910,28910,일치,일치
TX018016,29008,29008,일치,일치
TX018017,29106,29106,일치,일치
TX018018,29204,29204,일치,일치
TX018019,29302,29302,일치,일치
TX018020,0,0,일치,일치
TX019001,28518,28518,일치,일치
TX019002,28616,28616,일치,일치
TX019003,28714,28714,일치,일치
TX019004,28812,28812,일치,일치
TX019005,28910,28910,일치,일치
TX019006,29008,29008,일치,일치
TX019007,29106,29106,일치,일치
TX019008,29204,29204,일치,일치
TX019009,29302,29302,일치,일치
TX019010,29400,29400,일치,일치
TX019011,29498,29498,일치,일치
TX019012,29596,29596,일치,일치
TX019013,29694,29694,일치,일치
TX019014,29792,29792,일치,일치
TX019015,29890,29890,일치,일치
TX019016,29988,29988,일치,일치
TX019017,30086,30086,일치,일치
TX019018,30184,30184,일치,일치
TX019019,30282,30282,일치,일치
TX019020,0,0,일치,일치
TX020001,29498,29498,일치,일치
TX020002,29596,29596,일치,일치
TX020003,29694,29694,일치,일치
TX020004,29792,29792,일치,일치
TX020005,29890,29890,일치,일치
TX020006,29988,29988,일치,일치
TX020007,30086,30086,일치,일치
TX020008,30184,30184,일치,일치
TX020009,30282,30282,일치,일치
TX020010,30380,30380,일치,일치
TX020011,30478,30478,일치,일치
TX020012,30576,30576,일치,일치
TX020013,30674,30674,일치,일치
TX020014,30772,30772,일치,일치
TX020015,30870,30870,일치,일치
TX020016,30968,30968,일치,일치
TX020017,31066,31066,일치,일치
TX020018,31164,31164,일치,일치
TX020019,31262,31262,일치,일치
TX020020,0,0,일치,일치
TX021001,30478,30478,일치,일치
TX021002,30576,30576,일치,일치
TX021003,30674,30674,일치,일치
TX021004,30772,30772,일치,일치
TX021005,30870,30870,일치,일치
TX021006,30968,30968,일치,일치
TX021007,31066,31066,일치,일치
TX021008,31164,31164,일치,일치
TX021009,31262,31262,일치,일치
TX021010,31360,31360,일치,일치
TX021011,31458,31458,일치,일치
TX021012,31556,31556,일치,일치
TX021013,31654,31654,일치,일치
TX021014,31752,31752,일치,일치
TX021015,31850,31850,일치,일치
TX021016,31948,31948,일치,일치
TX021017,32046,32046,일치,일치
TX021018,32144,32144,일치,일치
TX021019,32242,32242,일치,일치
TX021020,0,0,일치,일치
TX022001,31458,31458,일치,일치
TX022002,31556,31556,일치,일치
TX022003,31654,31654,일치,일치
TX022004,31752,31752,일치,일치
TX022005,31850,31850,일치,일치
TX022006,31948,31948,일치,일치
TX022007,32046,32046,일치,일치
TX022008,32144,32144,일치,일치
TX022009,32242,32242,일치,일치
TX022010,32340,32340,일치,일치
TX022011,32438,32438,일치,일치
TX022012,32536,32536,일치,일치
TX022013,32634,32634,일치,일치
TX022014,32732,32732,일치,일치
TX022015,32830,32830,일치,일치
TX022016,32928,32928,일치,일치
TX022017,33026,33026,일치,일치
TX022018,33124,33124,일치,일치
TX022019,33222,33222,일치,일치
TX022020,0,0,일치,일치
TX023001,32438,32438,일치,일치
TX023002,32536,32536,일치,일치
TX023003,32634,32634,일치,일치
TX023004,32732,32732,일치,일치
TX023005,32830,32830,일치,일치
TX023006,32928,32928,일치,일치
TX023007,33026,33026,일치,일치
TX023008,33124,33124,일치,일치
TX023009,33222,33222,일치,일치
TX023010,33320,33320,일치,일치
TX023011,33418,33418,일치,일치
TX023012,33516,33516,일치,일치
TX023013,33614,33614,일치,일치
TX023014,33712,33712,일치,일치
TX023015,33810,33810,일치,일치
TX023016,33908,33908,일치,일치
TX023017,34006,34006,일치,일치
TX023018,34104,34104,일치,일치
TX023019,34202,34202,일치,일치
TX023020,0,0,일치,일치
TX024001,33418,33418,일치,일치
TX024002,33516,33516,일치,일치
TX024003,33614,33614,일치,일치
TX024004,33712,33712,일치,일치
TX024005,33810,33810,일치,일치
TX024006,33908,33908,일치,일치
TX024007,34006,34006,일치,일치
TX024008,34104,34104,일치,일치
TX024009,34202,34202,일치,일치
TX024010,34300,34300,일치,일치
TX024011,34398,34398,일치,일치
TX024012,34496,34496,일치,일치
TX024013,34594,34594,일치,일치
TX024014,34692,34692,일치,일치
TX024015,34790,34790,일치,일치
TX024016,34888,34888,일치,일치
TX024017,34986,34986,일치,일치
TX024018,35084,35084,일치,일치
TX024019,35182,35182,일치,일치
TX024020,0,0,일치,일치
